x-axis,1,2,F1
second,Volt,Volt,Volt
-33.85000E-06,-640.32657634E-03,-295.63537795E-03,-344.57198911E-03
-33.80000E-06,-640.81340950E-03,-294.69626871E-03,-346.00760234E-03
-33.75000E-06,-641.21545362E-03,-293.17147925E-03,-347.92753465E-03
-33.70000E-06,-640.56217810E-03,-292.21040484E-03,-348.23857987E-03
-33.65000E-06,-641.15891628E-03,-291.16614694E-03,-349.87429981E-03
-33.60000E-06,-641.16516889E-03,-289.58959535E-03,-351.45035982E-03
-33.55000E-06,-641.45720623E-03,-288.52155943E-03,-352.80744327E-03
-33.50000E-06,-642.19343910E-03,-287.31261924E-03,-354.76593440E-03
-33.45000E-06,-641.83255142E-03,-285.93361478E-03,-355.76842272E-03
-33.40000E-06,-641.37874140E-03,-285.57593067E-03,-355.68214556E-03
-33.35000E-06,-641.72275193E-03,-283.95186450E-03,-357.65327674E-03
-33.30000E-06,-642.22196971E-03,-282.54602167E-03,-359.56267958E-03
-33.25000E-06,-642.32999405E-03,-281.29947536E-03,-360.90969646E-03
-33.20000E-06,-642.09804436E-03,-280.35735100E-03,-361.61320187E-03
-33.15000E-06,-642.51705609E-03,-279.22321980E-03,-363.17769997E-03
-33.10000E-06,-642.91336770E-03,-277.80998992E-03,-364.98339491E-03
-33.05000E-06,-642.19804094E-03,-276.55518970E-03,-365.51537491E-03
-33.00000E-06,-642.55946757E-03,-275.61239071E-03,-366.82627637E-03
-32.95000E-06,-642.88115110E-03,-274.25957636E-03,-368.50243837E-03
-32.90000E-06,-643.24772983E-03,-273.63973480E-03,-369.48764712E-03
-32.85000E-06,-643.08723103E-03,-272.57134460E-03,-370.38183019E-03
-32.80000E-06,-643.33534178E-03,-270.88459401E-03,-372.32927271E-03
-32.75000E-06,-643.11234701E-03,-269.78937675E-03,-373.20349960E-03
-32.70000E-06,-643.53899454E-03,-268.73443777E-03,-374.67148405E-03
-32.65000E-06,-643.45111876E-03,-267.69629303E-03,-375.61937032E-03
-32.60000E-06,-643.54071316E-03,-266.63155113E-03,-376.78990118E-03
-32.55000E-06,-643.71883912E-03,-265.53103102E-03,-378.06526496E-03
-32.50000E-06,-644.04896123E-03,-264.19981627E-03,-379.71985708E-03
-32.45000E-06,-643.84844421E-03,-263.57505251E-03,-380.14286854E-03
-32.40000E-06,-644.21402417E-03,-262.64803392E-03,-381.42832819E-03
-32.35000E-06,-644.56070308E-03,-261.45833022E-03,-382.96455670E-03
